constituency,female_candidates_fg,female_elected_fg,male_candidates_fg,male_elected_fg,female_candidates_ff,female_elected_ff,male_candidates_ff,male_elected_ff,female_candidates_sf,female_elected_sf,male_candidates_sf,male_elected_sf,female_candidates_lb,female_elected_lb,male_candidates_lb,male_elected_lb,female_candidates_aa,female_elected_aa,male_candidates_aa,male_elected_aa,female_candidates_4c,female_elected_4c,male_candidates_4c,male_elected_4c,female_candidates_sd,female_elected_sd,male_candidates_sd,male_elected_sd,female_candidates_gp,female_elected_gp,male_candidates_gp,male_elected_gp,female_candidates_cd,female_elected_cd,male_candidates_cd,male_elected_cd,female_candidates_cp,female_elected_cp,male_candidates_cp,male_elected_cp,female_candidates_dd,female_elected_dd,male_candidates_dd,male_elected_dd,female_candidates_fn,female_elected_fn,male_candidates_fn,male_elected_fn,female_candidates_id,female_elected_id,male_candidates_id,male_elected_id,female_candidates_ri,female_elected_ri,male_candidates_ri,male_elected_ri,female_candidates_wp,female_elected_wp,male_candidates_wp,male_elected_wp,female_candidates_in,female_elected_in,male_candidates_in,male_elected_in
Carlow-Kilkenny  ,0,0,3,2,1,0,2,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
Cavan-Monaghan  ,1,1,1,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Clare  ,1,0,2,2,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1
Cork East ,0,0,3,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0
Cork North-Central ,1,0,1,1,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0
Cork North-West ,1,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0
Cork South-Central ,0,0,2,1,0,0,2,2,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0
Cork South-West,0,0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
Donegal,0,0,2,1,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1
Dublin Bay North,1,0,2,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1
